estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
EN CURSO;T OV-20256245;NO;;06/11/2025;JMR;NAVARRA;S. ELECTRICOS;ELECDUERO;ELECDUERO;AFS INSTALACION LEON;CLIENTE NUEVO;;;11.905,00 €;450;;;;;;;
EN CURSO;T OV-20255268;NO;;07/11/2025;BRL;NAVARRA;LOTO;THOR ESPECIALIDADES;THOR ESPECIALIDADES;PANEL DE CONSIGANCION ABUS;CLIENTE ANTIGUO;;;2.387,11 €;1671;;;;;;;
ACEPTADO;T OV-20255269;NO;;07/11/2025;BRL;NAVARRA;LOTO;THOR ESPECIALIDADES;THOR ESPECIALIDADES;SUMINISTRO MATERIAL LOTO;CLIENTE ANTIGUO;;;1.279,02 €;767;;;;;;;
EN CURSO;T OV-20256261;NO;;07/11/2025;BRL;NAVARRA;ATEX;OGISA INFRAESTRUCTURAS;OGISA INFRAESTRUCTURAS;OGISA FORMACION ATEX 4 HORAS;CLIENTE NUEVO;;;450,00 €;0;;;;;;;
ACEPTADO;T OV-20256262;NO;;07/11/2025;ELA;MADRID;ATEX;AVANTA;SOR IBÉRICA;ACTUALIZACIÓN DPCEX ALZIRA;CLIENTE NUEVO;;;3.600,00 €;420;ELA;;;;;;
RECHAZADO;T OV-20256270;NO;;07/11/2025;ELA;MADRID;ATEX;ACCIONA;UTE TORRELAGUNA;ACTUALIZACIÓN DPCEX ETAP TORRELAGUNA;CLIENTE NUEVO;;;1.750,00 €;280;ELA;;;;;;
EN CURSO;T OV-20256275;SI;;10/11/2025;ELA;MADRID;ATEX;WSP SPAIN;WSP SPAIN;DPCEX ESTACIÓN BIOMETANO;CLIENTE NUEVO;Desplazam. no incluido;;1.750,00 €;;ELA;;;;;;
ACEPTADO;T OV-20256282;NO;;10/11/2025;AEL;NAVARRA;CSTMP;REGANOSA;REGANOSA;FORMACION ONLINE MMPP;CLIENTE ANTIGUO;;;227,50 €;0;BLO;;;;;;
EN CURSO;T OV-20256285;NO;;10/11/2025;AEL;NAVARRA;CSTMP;IMQ PREVENCION;H2SITE;VISITA + FORMACION ADICIONAL;CLIENTE ANTIGUO;;;855,00 €;74;BLO;;;;;;
EN CURSO;T OV-20256287;NO;;11/11/2025;JMR;NAVARRA;S. ELECTRICOS;TUV SUD IBERIA;TUV SUD IBERIA;AFS 101 ACOMETIDAS FORD;CLIENTE ANTIGUO;;;21.573,00 €;0;;;;;;;
