Nº trabajo;OFERTA GESTIONA;EXP GESTIONA;TIPO EXP.;FECHA INICIO;FECHA ENTREGA;TECNICO RBLE;T1;SERVICIO ;TIPO SERVICIO;GRUPO;ICA;PPTO. TOTAL (SIN IVA);GASTOS (EST.);HORAS PRESUP (HP);HORAS 2025;HORAS RESTANTES;TOTAL H (2024 + 2025);% HR/HP  AÑO;Tomás;Jokin;Cristian;Belén;Raúl;Ánder;Bryan;Maddie;Iñaki;Javier;M. Ángel;Paula;Pilar;David;J. Antonio;Elena;Laura;Hacomar;T2;T3;PEDIDO;FECHA FINALIZACIÓN;VB CLIE. ;FECHA FACTURACION;Columna1;Nº Fact;;;;
3025;T OV-20260399;T20-SIN-08-1718;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP AMIGÜITOS PET&LIFE;CSTMP;AMIÜITOS PET&LIFE;AMIÜITOS PET&LIFE;1.500,00 €;200,00 €;21,67;0;17,67;4;18,46;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3026;T OV-20260400;T21-SIN-08-0145;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP LIQUATS VEGETALS;CSTMP;LIQUATS VEGETALS;LIQUATS VEGETALS;1.750,00 €;350,00 €;23,33;0;20,33;3;12,86;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3027;T OV-20210776;T21-SIN-08-0794;ANUAL;ene-25;dic-25;AEL;JMR;CS FLUITECNIK;CSTMP;FLUITECNIK;FLUITECNIK;1.090,00 €;20,00 €;17,83;0;11,58;6,25;35,05;0;0;0;0;0;6;0,25;0;0;0;0;0;0;0;0;0;0;0;JMR;;;;NO;;;;;;;
3028;T OV-20260296;T21-SIN-08-1262;ANUAL;ene-26;dic-26;AEL;PRW;CSTMP ARGAL LUMBIER;CSTMP;INDUSTRIAS CARNICAS;INDUSTRIAS CARNICAS;1.105,00 €;35,00 €;17,83;0;6,08;11,75;65,89;0;0;0;0;0;4;0;0;0;0;0;0;7,75;0;0;0;0;0;;;;;NO;;;;;;;
3029;T OV-20260315;T21-SIN-08-1610;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP CONGELADOS DE NAVARRA;CSTMP;CONGELADOS DE NAVARRA;CONGELADOS DE NAVARRA;1.795,00 €;80,00 €;28,58;0;26,08;2,5;8,75;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3030;T OV-20260314;T22-SIN-08-1127;ANUAL;ene-26;dic-26;AEL;PRW;CSTMP METALURGICAS PABUR;CSTMP;METALURGICAS PABUR;METALURGICAS PABUR;1.130,00 €;150,00 €;16,33;0;14,88;1,45;8,88;0;0;0;0;0;0;0;0;0;0;0;0;1,45;0;0;0;0;0;;;;;NO;;;;;;;
3031;T OV-20260401;T22-SIN-08-2864;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP IMQ ELMUBAS;CSTMP;IMQ PREVENCION;ELMUBAS;1.430,00 €;50,00 €;23;0;19;4;17,39;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3032;T OV-20225045A;T16-SIN-08-1020;ANUAL;ene-25;dic-25;BLO;BLO;CS GNCOM ESPAÑA;CSTMP;NATURGY;GAS NATURAL COMERCIALIZADORA;1.652,53 €;0,00 €;27,54;0;25,79;1,75;6,35;0;0;0;0;0;0;1,75;0;0;0;0;0;0;0;0;0;0;0;PRW;;;;NO;;;;;;;
3033;T OV-20225045A;T16-SIN-08-1020;ANUAL;ene-25;dic-25;BLO;BLO;CS GNCOM PORTUGAL;CSTMP;NATURGY;GAS NATURAL COMERCIALIZADORA;1.652,53 €;0,00 €;27,54;0;25,79;1,75;6,35;0;0;0;0;0;0;1,75;0;0;0;0;0;0;0;0;0;0;0;PRW;;;;NO;;;;;;;
3034;T OV-20222399A;T23-SIN-08-1775;PARADO;ene-25;dic-25;AEL;AEL;CS TERMOSOL 1 + SIM APQ;CSTMP;SAETA YIELD;TERMOSOL 1;;;0;0;0;5,5;;0;0;1;0;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
